StAX processor created successfully
Starting file processing
Editors:
soumrachnij - 114
Helmchen42 - 112
Alexander Svidcehnkov - 111
box_911 - 111
ivn64 - 109
wawont - 108
xakpc - 106
Ruffian - 105
Citibiker - 104
Sergey001 - 104
Беломир - 101
Voldemar0 - 97
Akela710 - 96
vGross - 95
Max Vasilev - 95
Evrozvuk - 94
dedok - 92
KartaFan - 92
Андрей Омельчук - 92
AlRight - 87
koala42 - 87
Olta - 87
Skrat  nsk - 83
jaimemd - 83
Art9 - 83
RichRico - 82
johny - 81
greencaps - 81
bigalxyz123 - 81
agamemn - 79
kamondir - 79
sfedor - 79
ssv - 79
Евген1991 - 78
Felis Pimeja - 77
LamerXaKer - 77
abel801 - 77
Volchara - 76
AliasVector - 75
Зайцева Алена - 73
Silent7 - 72
vfjj - 72
Kirasir - 71
hsn208 - 71
Ansider - 70
m3a1 - 70
maxphizik - 69
lurlrlrl - 68
wd75 - 68
Jane4ka - 65
temark - 65
Di Anre - 65
Margarita24 - 64
Rage Sergey - 61
kotofos - 60
alexderev - 60
Paul Shmarev - 59
fubor76 - 59
sibwest - 59
Макс - 59
i-l-j-a - 58
arcth - 57
esaulenka - 57
Wild1 - 57
VyacheslavS - 56
Den26 - 55
loktionov - 54
AntonSlusar - 53
icepilot - 53
S T - 52
Evgenii__K - 51
alexMAP - 51
maria159 - 50
Vbif - 50
max630 - 50
turula - 49
Влад_chip - 49
AnVas - 48
Rimdus - 47
VTanya - 46
unknown365 - 46
purumub - 45
alcm-b - 45
mariya-romasheva - 45
anton_sh - 43
Ensay - 42
emptySA - 42
TourenHannes - 42
arteam - 41
Михаил Борисов - 40
Nikomuro - 40
zSilas - 40
Aldorens - 40
AndrewTheStalker - 40
savage81 - 39
Bedouin - 38
Alkozin - 38
svtol - 38
T_G_K - 38
Vaska72 - 37
LaY_zzz - 37
Damien_Thorn - 37
salmin - 37
pol78 - 37
medvezhut - 36
Ismagilov Roman - 36
gsv - 36
h4Cx78 - 36
oldmen - 36
Rockstar - 36
Nikolaich - 36
eugennik - 36
vespex - 35
_govorilka - 35
Den3309 - 35
Karta01ru - 35
Андрей_SwEm - 35
xSmit - 34
Alexandra Pogudina - 34
DuhaNsk - 34
qwerty51 - 33
Donatello - 33
Dimkansk - 32
Azor Ku - 32
_DR_ - 32
Vadim Zudkin - 32
ArnoldAleksandr - 31
MBear - 31
dmOx - 30
Мехаил - 30
Romanso - 29
Маргарита - 29
torovec - 29
Lehansk90 - 29
amtor47 - 29
svdeys - 29
Виктория - 29
ckopnuo-67 - 28
Denm4a1 - 28
fserges - 28
adima - 27
freeExec - 27
iDamir - 27
EugeneVD - 27
snr - 27
Yarroslav - 27
rumigu - 26
Badani - 26
Дядя Алекс - 26
LittlePONNY - 26
den0508 - 25
Pavel1377 - 25
CAHbKA-IV - 25
esperu - 25
Аннэтик - 25
woodpeck_repair - 25
raf_gps - 25
staytuned - 25
Koljan87 - 25
Dmitry Olyenyov - 24
Juli-li - 24
axelr - 23
rip - 23
easmik - 23
Freem - 23
gabenok - 23
solomax - 23
SergeyNSK - 22
Dimokpower - 22
stellz - 22
supremevil - 22
kremlao - 22
yalfhg - 22
rbuch703 - 22
RomanZar - 22
камикадзе - 22
kupino-cck - 21
fernando_67 - 21
~Grek~ - 21
zqax - 20
Bulldouzer - 20
Micogen - 20
KsushKA - 20
redopium - 20
pyadov - 19
Alexiofx - 19
Ольга26 - 19
Exella - 19
Wol1981 - 18
Nesmero - 18
hazardm - 18
Mir76 - 18
Алина Рюмшина - 18
Kanieva_Maria - 17
PA94 - 17
Zhulik - 17
Kostya8792 - 16
Fortress - 16
MockuT - 15
Andreevdp - 15
andrewry - 15
elazarev - 15
SuperJet59rus - 15
XaE - 15
Karahagen - 15
mad_sanity - 15
Романенко София - 14
Ordin - 14
AxiS - 14
baks72 - 14
novodim - 14
KonoSV - 14
Andrei Polushin - 14
Лариса Насырова - 14
M I†I S - 14
Елена123456789 - 14
Just55 - 13
patashnik - 13
bober953 - 13
Estetic Service - 13
osm-kazakhstan - 13
Peter Suvorov - 13
IqRus - 12
maynich - 12
Axill - 12
Eugene Bogoyavlensky - 12
FaveOfTheSun - 12
ullus - 12
Uzhur - 12
develmax - 12
nafania - 12
demonlord32 - 11
birkoff - 11
serj02 - 11
gadina - 11
Opeckun - 11
calfarome - 11
Александр Александрович - 11
w(HiT)e - 11
freietonne-db - 11
xybot - 11
Alexey Sirotkin - 11
x86128 - 11
Шурка - 11
�?лья Усенко - 10
Sirozha - 10
Андрей2013 - 10
Striker2000 - 10
MaxS - 10
Sekt® - 10
Al6ka - 10
Chekotryas - 10
GoodOk - 10
aos1986 - 10
Eugene Muzychenko - 10
guest - 9
leonet - 9
SVA - 9
Gluk02 - 9
pilat - 9
MakcuM_1984 - 9
Михаил Новиков - 9
gamma-aspirin - 9
serge_vl - 8
PlasmaGAN - 8
Detonator - 8
Володя71 - 8
Vvs2 - 8
КсенияЭБА - 8
VadimZ - 8
Storm-Sli - 8
2008vit - 8
Mogamashina - 8
Анастасия Сергеевна - 8
Lyubchenko Denis - 8
Фурманов - 8
Vadim Ippolitov - 8
drewy - 8
Anton Dessiatov - 8
Paspartu - 8
Shonchalay - 8
GT21 - 8
lks1 - 8
iaros - 7
Manu1400 - 7
Boobies - 7
Митёк - 7
ZCC - 7
asinko03 - 7
Katya817 - 7
EvgeniaB - 7
armahema - 7
natanga - 7
lionS - 7
jatisw - 7
сибиряк54 - 7
Zverik - 7
Jim_Di - 7
void_nsk - 6
CutterRus - 6
nick_volynkin - 6
sanek01 - 6
bull31 - 6
sadko1978m - 6
xVir - 6
melodictsk - 6
justhack - 6
Ник С - 6
anyerdna - 6
salsergey - 6
MadBorman - 6
D is Developer - 6
hadhuey - 6
Alisha - 6
peshkov - 6
Долана - 5
Zkir - 5
Анжела - 5
Sargis-T111 - 5
gwinder - 5
Pas - 5
MZaitsev - 5
Andrej-2 - 5
Dmitriy Sysoev - 5
Inok - 5
MaximNikiforov - 5
Barmagon - 5
Miheich - 5
metrosib - 5
Anrock - 5
omagic - 5
nki251 - 5
Vlasoft - 5
mtrr - 5
k0rd - 5
Sibirier - 5
art_chernyshev - 5
maryfedor - 5
LMNNsk - 5
nebm51 - 5
Traveler's Coffee - 5
kemmok - 5
n06rin - 5
TEDERIs - 4
аркан - 4
frol9 - 4
BoomEngine - 4
Artem_A - 4
vitalipet - 4
ToGr - 4
apca - 4
ediyes - 4
elena20112602 - 4
landfahrer - 4
Евгений Юркин - 4
De14ri10ng - 4
taeno - 4
Skomoroshka - 4
b108 - 4
atsman - 4
Евгенова Людмила - 4
Doggers - 4
dedNikifor - 4
BiIbo - 4
andygol - 4
withoutface - 4
Tatyana54 - 4
sashazykov - 4
Ермак - 4
Sen-Я - 4
malcolmh - 4
Luis36995 - 4
masha33 - 4
share-ware - 4
Vladimir Gin - 4
BORZOTA - 4
KlaydF - 4
pbav - 4
снежа - 4
ignat_b - 4
IainMaclean - 4
Ksk91 - 4
VeloNightGroup - 4
mrmurrdoc - 4
salik154 - 4
Отличница - 4
Niker - 4
Petja - 4
pogoreli - 4
sibklubok - 4
srez - 4
дизилист - 4
Kutuzov_optim - 4
DIMM54ka - 4
StasPekur - 4
Yuliya28 - 3
TSA21432 - 3
fomichenko - 3
niro - 3
ohmy - 3
imbizo - 3
kuzmatsukanov - 3
ksenia - 3
art2010 - 3
Vladislav Naumov - 3
alex_img - 3
MaryVeryTheOne - 3
Dr Kludge - 3
Sergey Astakhov - 3
Tim Morley - 3
Ramzes - 3
Вероника93 - 3
Ezovskikh - 3
Andre68 - 3
Aristo - 3
Taxivs - 3
Sergey Dorokhin - 3
IGNAT_VELIKIY - 3
nikolamedik - 3
Kazikin - 3
Катерина* - 3
fris - 3
GanKo - 3
Vyvern - 3
yasaniok - 3
Андрей Головин - 3
markoverride - 3
Alexander108 - 3
EditAmateur - 2
Маша1993 - 2
Hunternsk - 2
vovchic - 2
Алех - 2
Gorovato - 2
Sergej Bestuzhev - 2
Andrey-N - 2
maggot27 - 2
1234glaz - 2
igor1969 - 2
Ashlee - 2
О+л+я - 2
Golova - 2
stewie_fisher - 2
AlexTheTux - 2
вахтовик - 2
Vazhnov Alexey - 2
uno3_2012 - 2
alniro1961 - 2
kalmar - 2
al56 - 2
VIPstars - 2
Saveli - 2
Myst - 2
kudryavsky - 2
trolleway - 2
Evgenyc - 2
king_nsk - 2
zed-nsk - 2
zverevsergei - 2
k555211 - 2
ken826 - 2
lexa36588 - 2
KekcuHa - 2
Saniga85 - 2
bossleo - 2
yaleks - 2
dr_hertz - 2
iHedonist - 1
ЗZZZ - 1
Hassium - 1
xof - 1
Rub21 - 1
алекса-алексей - 1
Tropina Olesya - 1
katoshi - 1
ruthmaben - 1
inferst - 1
shura0 - 1
TAPAKAH - 1
SMP - 1
Collide205 - 1
Yura Svetlanov - 1
serikst - 1
ajk - 1
snixxzz - 1
eugene3306 - 1
int_ua - 1
Row - 1
HHCacher - 1
kaminari - 1
NTKe - 1
efred - 1
spark-23 - 1
Naty90 - 1
tvm - 1
Сергей N - 1
zzazab - 1
JuliaFit - 1
�?ван Краус - 1
zsm991 - 1
plastun - 1
046 - 1
cgu66 - 1
Ivazin - 1
iRadysyuk - 1
Jonny80 - 1
Jickx - 1
leg47 - 1
Zilovetc - 1
autoprokat54 - 1
Walter Schlögl - 1
ovit2 - 1
Dracon64 - 1
navigARTor - 1
ranger90 - 1
hkm - 1
yaric - 1
reta - 1
Azor - 1
asfintesco - 1
Pavel Konovalov - 1
stenl - 1
Pudich - 1
leshey - 1
letchik - 1
Claudius Henrichs - 1
Alexey Spiridonov - 1
one_half_3544 - 1
Spol1981 - 1
Дведь - 1
Toxa-xa - 1
veronika1412 - 1
Murat Dzhusupov - 1
AndiG88 - 1
ciclista - 1
deksden - 1
tretjakoffffa - 1
GriFF - 1
Classen - 1
Fabi2 - 1
Stanislav Novosibirsk - 1
k1pro - 1
greywind - 1
ксения козлова - 1
uboot - 1
andrewa78 - 1
Syl - 1
overwolf - 1
wheelmap_visitor - 1
Djonik - 1
lzhl - 1
aquamarishechka - 1
Jochen Topf - 1
Amaroussi - 1
Ropino - 1
olehz - 1
mavl - 1
DemanO - 1
tixuwuoz - 1
konev - 1
mikser33 - 1
romzes722 - 1
Kristinajdm - 1
Ezhick - 1
K2Zed - 1
Dron_007 - 1
Tags:
Транссибирская магистраль - 166
Сбербанк - 144
Центральная улица - 127
Советская улица - 114
улица Ленина - 108
Школьная улица - 84
Садовая улица - 79
Молодёжная улица - 76
Бердское шоссе - 75
Северный обход Новосибирска - 74
Октябрьская улица - 69
улица Мира - 66
Лесная улица - 56
Мария-Ра - 55
улица Кирова - 55
Зелёная улица - 55
Омь - 53
Тара - 50
Коммунистическая улица - 50
Набережная улица - 50
Рабочая улица - 50
«Сибирь» - 48
Новая улица - 47
Береговая улица - 46
Комсомольская улица - 44
Первомайская улица - 43
Партизанская улица - 43
Каменка - 43
Красный проспект - 41
�?ня - 40
Банкомат Номос-Банк - 39
улица Пушкина - 39
Трудовая улица - 38
Северная улица - 38
Сибирская улица - 37
Вокзальная улица - 37
Большевистская улица - 37
Стихийная свалка - 37
улица Мичурина - 36
АЗС Газпромнефть - 36
Степная улица - 36
Шиномонтаж - 34
улица Гоголя - 34
Тартас - 34
Пролетарская улица - 33
Транссиб - 33
улица Кошурникова - 33
улица Фрунзе - 33
Восточная улица - 33
улица Гагарина - 32
улица Чкалова - 32
Карасук - 32
АГЗС - 31
Озёрная улица - 31
улица Калинина - 31
Заречная улица - 30
Обь - 30
улица �?пподромская - 30
Южная улица - 30
Школа - 29
Магазин - 29
Советское шоссе - 28
Заводская улица - 28
улица Чапаева - 28
Солнечная улица - 27
Бердь - 27
Кооперативная улица - 27
Луговая улица - 26
улица Лермонтова - 26
Московская улица - 26
улица Ватутина - 26
Юбилейная улица - 26
улица Маяковского - 25
берёза осина - 25
Дачная улица - 25
Поликлиника - 24
Станционная улица - 24
улица Чехова - 24
Мошково — Белоярка - 24
улица Жуковского - 24
Шайтанка - 23
Полевая улица - 23
Железнодорожная улица - 23
Колхозная улица - 23
Боровая улица - 23
Светлая улица - 22
Берёзовая улица - 22
улица Максима Горького - 22
Строительная улица - 22
Столовая - 22
Промышленная улица - 22
улица Островского - 21
улица Сибиряков-Гвардейцев - 21
улица Свердлова - 21
улица Титова - 20
«�?ртыш» - 20
Пионерская улица - 20
улица Богдана Хмельницкого - 20
Весенняя улица - 20
улица Энергетиков - 19
Фабричная улица - 19
Линейная улица - 19
улица Ломоносова - 19
Газпромнефть - 19
Речная улица - 19
Шоссейная улица - 19
Западная улица - 19
Новосибирск-Главный - 18
Ленинградская улица - 18
улица Есенина - 18
оз. Горькое - 18
Нарымская улица - 18
улица Дуси Ковальчук - 18
Алтайская улица - 17
площадь Карла Маркса - 17
АЗС - 17
Traveler's Coffee - 17
улица Немировича-Данченко - 17
улица Горького - 17
Транспортная улица - 17
улица Крылова - 17
Учительская улица - 17
Котельная - 17
Универсам - 17
улица Некрасова - 17
Почтовая улица - 17
улица Петухова - 16
Подорожник - 16
Радуга - 16
Столичный - 16
Совхозная улица - 16
улица Урицкого - 16
Михайловка - 16
Горожанка - 16
�?ча - 15
улица Строителей - 15
Болотное — Кругликово - 15
улица Карла Маркса - 15
улица Толстого - 15
Продукты - 15
улица Котовского - 15
Обская улица - 15
Каменушка - 15
улица Добролюбова - 15
Сибириада - 15
Гусинобродское шоссе - 15
Школьный переулок - 14
Березовка - 14
улица Бориса Богаткова - 14
Администрация - 14
Кама - 14
Конево — Маслянино - 14
проспект Дзержинского - 14
Речной вокзал - 14
Майская улица - 14
Красный Яр - 14
Большая улица - 14
улица Дзержинского - 14
улица Покрышкина - 13
улица Восход - 13
�?к - 13
Чем - 13
Красноармейская улица - 13
Мостовая улица - 13
�?нмарко - 13
улица Фурманова - 13
Вертковская улица - 13
улица Белинского - 13
Русь - 13
берёза - 13
Зырянка - 13
Пятёрочка - 13
улица Матросова - 13
Нижняя Ельцовка - 13
Сосновая улица - 13
Автовокзал - 12
Степной переулок - 12
Каргат - 12
АЗС Лукойл - 12
улица Суворова - 12
улица Куйбышева - 12
Волочаевская улица - 12
Дом Культуры - 12
улица Герцена - 12
Новосибирск — Ленинск-Кузнецкий - 12
Баня - 12
Подгорная улица - 12
улица Никитина - 12
Кирпичная улица - 11
СТО - 11
улица Кутузова - 11
Сады - 11
улица Красина - 11
проспект Димитрова - 11
улица Тургенева - 11
Троицкий сельсовет - 11
гараж - 11
Ромиха - 11
улица Победы - 11
Школа №1 - 11
Болотное — Тогучин - 11
Новосибирск — Колывань — Томск - 11
улица Ермака - 11
Чулым - 11
Новосибирское водохранилище - 11
улица Чайковского - 11
Республиканская улица - 11
Дол - 11
Тула - 11
Общежитие - 11
Деповская улица - 10
Зыряновская улица - 10
проезд Энергетиков - 10
Холидей Классик - 10
Алексеевка - 10
улица Блюхера - 10
Уй - 10
Октябрьская - 10
Приморская улица - 10
Куйбышев — Венгерово — Нижняя Омка - 10
Кольцевая улица - 10
Производственная улица - 10
улица Энгельса - 10
Детский сад - 10
Целинная улица - 10
Покровка - 10
площадь Калинина - 10
улица Олега Кошевого - 10
�?здревая - 10
Нагорная улица - 10
Ельцовка - 10
Звёздная улица - 10
улица Пархоменко - 10
Альфа-Банк - 10
Камышинка - 10
�?нтернациональная улица - 10
Гараж - 10
Площадь Маркса - 10
Трикотажная улица - 10
улица Шевченко - 10
Вокзальная магистраль - 10
Плановая улица - 10
Черепаново — Маслянино - 10
�?зылы - 10
Спортивная улица - 10
Красноярская улица - 10
улица Тимирязева - 10
Матвеевка - 10
Автомойка - 10
Торговый центр - 10
Г�?БДД - 9
Восход - 9
Больница - 9
Депутатская улица - 9
улица Степана Разина - 9
Парковка - 9
Союзная улица - 9
Тарсьма - 9
Ояш - 9
�?ва - 9
Дорожная улица - 9
Октябрьская магистраль - 9
Крутиха - 9
Новосибирская шоколадная фабрика - 9
Школа №2 - 9
Орловка - 9
Чаны — Кыштовка - 9
Сузун - 9
Чёка - 9
Парковая улица - 9
Большой Барлак - 9
�?кса - 9
Баган - 9
улица Орджоникидзе - 9
улица Терешковой - 9
Аптека - 9
Холидей - 9
Детская ж/д - 9
Жилой дом - 9
Книгомир - 9
площадь Сибиряков-Гвардейцев - 9
Мочищенское шоссе - 9
Гурьевская улица - 9
Болотное — Козловка - 9
Ягодная улица - 9
Студенческая - 9
ЦУМ - 9
площадь Кирова - 9
Центральная - 9
улица Грибоедова - 9
Малиновка - 9
Каменская улица - 9
Россельхозбанк - 9
Тальменка - 9
улица Щорса - 9
Рынок - 9
Суенга - 9
Базарная улица - 9
Волховская улица - 8
улица Тельмана - 8
площадь Станиславского - 8
проезд Мозжерина - 8
площадь Труда - 8
площадь Трубникова - 8
Краснояровское шоссе - 8
улица 50 лет Октября - 8
Горная улица - 8
улица 40 лет Октября - 8
Шипуниха - 8
Сибирская - 8
пл. Ленина - 8
Укроп - 8
улица Станиславского - 8
Черемшанка - 8
Гаражи - 8
Таскаево - 8
Лукойл - 8
улица Пугачёва - 8
Стандарт - 8
Морской проспект - 8
Берёзовая Роща - 8
Цветной проезд - 8
Переезд - 8
Солнышко - 8
Овощехранилище - 8
Лебяжья - 8
улица Челюскинцев - 8
Быстроном - 8
Верхняя �?ня - 8
Авоська - 8
Пашенка - 8
Геодезическая улица - 8
Звёздная - 8
Койниха - 8
площадь Лунинцев - 8
Станционно-Ояшинский — Кайлы - 8
шиномонтаж - 8
улица Войкова - 8
Чик - 8
Септима - 8
Поселковая улица - 8
Кедровая улица - 8
Большая Чёрная - 8
улица Нахимова - 8
АЗС Хорос - 8
Метео острова (мель) - 8
Колыванское шоссе - 8
Новосибирская улица - 7
1 - 7
АЗС Синтез - 7
Восточный обход (1-й этап) - 7
Сенная улица - 7
улица Писарева - 7
Коммунальная улица - 7
Красногорская улица - 7
Рассветная улица - 7
Челябинск-Новосибирск - 7
Урез - 7
Гагаринская - 7
Путепровод - 7
улица Спартака - 7
Угурманка - 7
Берёзовская улица - 7
Дом Быта - 7
Озерный - 7
Шегарка - 7
улица Космонавтов - 7
АЗС Красный Яр - 7
улица Комарова - 7
Прибрежная улица - 7
Троллейная улица - 7
Хмелёвка - 7
Бердская улица - 7
Петропавловская улица - 7
�?скра - 7
Юргинка - 7
улица Лобова - 7
poperechnaja - 7
Разъезд �?ня - 7
Сибиряк - 7
Нижегородская улица - 7
Бурла - 7
Квартал - 7
Бакса - 7
Еланка - 7
Кудряшовский бор - 7
Лесной переулок - 7
Олимпийская улица - 7
ДПС - 7
Колонка - 7
Петропавловка - 7
Курундус - 7
улица Танкистов - 7
Новоалександровка - 7
подъезд к Сузуну - 7
Овражная улица - 7
Цветочная улица - 7
Китерня - 7
Моя аптека - 7
АЗС Трансервис - 7
улица Крупской - 7
Буготак - 7
Маяк - 7
Озёрный переулок - 7
Бобровка - 7
Ельцовка 2 - 7
улица Радищева - 7
Пермская улица - 7
проспект Академика Лаврентьева - 7
Урап - 7
Завод ЖБ�?-1 - 7
Советский переулок - 7
Шилово-Курья — Благодатное - 7
Старица - 7
Берёзовка - 7
улица Здвинского - 7
Таёжная улица - 7
улица Советов - 6
Пиво - 6
Газпром нефть - 6
Мелодия здоровья - 6
Мираж - 6
Снежная улица - 6
улица Семьи Шамшиных - 6
Первомайский - 6
площадь Энергетиков - 6
АГЗС Гранд - 6
Парашютная улица - 6
Комсомольский проспект - 6
улица 1905 года - 6
улица Андреева - 6
Октябрьский - 6
улица Джамбула - 6
Осиновка - 6
Камышевка - 6
Полиция - 6
Берёзка - 6
улица Щетинкина - 6
�?нструментальный завод - 6
�?зесс - 6
Банк Москвы - 6
Дресвянка - 6
�?скитим - 6
Кубовая - 6
Шадриха - 6
Красная улица - 6
717 bus station - 6
Лунная улица - 6
Школа №8 - 6
Майзас - 6
улица Осипенко - 6
улица Маркса - 6
улица Лескова - 6
Рождественка - 6
Рябиновая улица - 6
Лидер экономии - 6
Владимировская улица - 6
Плющиха - 6
Калиновка - 6
Выборная улица - 6
Центр - 6
улица Селезнёва - 6
улица Дружбы - 6
сосна - 6
Солнечный переулок - 6
улица Салтыкова-Щедрина - 6
Крестьянская улица - 6
Космическая улица - 6
Новоуральская улица - 6
Угуйка - 6
Мирный - 6
1-й переулок Костычева - 6
Студенческая улица - 6
Целинный - 6
улица �?ванова - 6
Безменово - 6
Тогучинка - 6
Омская улица - 6
Родниковая улица - 6
Береговой переулок - 6
Ясная Поляна - 6
улица Демакова - 6
Каштановая улица - 6
Карпысак - 6
Библиотека - 6
Вокзал - 6
улица Связистов - 6
улица Гастелло - 6
Лазурная улица - 6
Русские блины - 6
Военная часть - 6
улица Римского-Корсакова - 6
улица 3 �?нтернационала - 6
Окунево — Абышево - 6
подъезд к Ташаре - 6
Российская улица - 6
улица Державина - 6
улица Достоевского - 6
улица Молодости - 6
Рассвет - 6
Центральный рынок - 6
Чаны - 6
Молкомбинат - 6
Вьюны — Юрт-Акбалык - 6
Пионерский переулок - 6
Аптека 36,6 - 6
Широкая улица - 6
Хоккейная коробка - 6
Деповской переулок - 6
Вилка-ложка - 6
Козловка - 6
Революционная улица - 6
Береговая - 6
Серебренниковская улица - 6
улица Кольцова - 6
Октябрьский переулок - 6
Новосибирск - 6
Александровский - 6
Ромашка - 6
Клубная улица - 6
Дальняя улица - 6
Кузбасская улица - 6
Сорока - 6
Светлановская улица - 6
улица Глинки - 6
�?вановка - 6
улица Чаплыгина - 6
Детская поликлиника - 6
Кольцово — Академгородок - 6
Бердский залив - 6
Вассино — Дергоусово - 6
улица Зои Космодемьянской - 6
Клуб - 6
Сосновка - 6
Софийская улица - 6
улица Аэропорт - 6
могилиный - 6
Новотроицк - 6
Тайгинская улица - 5
2 - 5
Плехановский жилмассив - 5
улица Энтузиастов - 5
Мирный переулок - 5
оз. Глубокое - 5
Советский - 5
АЗС Промсиб - 5
улица Кропоткина - 5
Северный проезд - 5
Новосибирск-Западный - 5
Маршала Покрышкина - 5
Тульская улица - 5
Ботанический жилмассив - 5
�?нская - 5
Потанинская улица - 5
Новоалексеевка - 5
Бийская улица - 5
Николаевка - 5
Цирк - 5
�?нститут Гидроцветмет - 5
улица Воровского - 5
Дубровино - 5
Кошево - 5
5-я улица Кирпичная Горка - 5
Народная улица - 5
улица Невельского - 5
Бакинская улица - 5
Ульяновская улица - 5
улица Якушева - 5
Тарка - 5
Новопокровка - 5
Рабочий переулок - 5
Путевая улица - 5
Сокур - 5
улица Павлова - 5
Универмаг "Кировский" - 5
Снегоотвал - 5
�?ркутская улица - 5
улица Объединения - 5
улица Володарского - 5
площадь Кондратюка - 5
Кыштовка — Малокрасноярка - 5
�?нской - 5
Зубково - 5
Аэродромная улица - 5
Осенняя улица - 5
улица Лазо - 5
улица Репина - 5
Социалистическая улица - 5
